0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
21 1.07263 0.01271 -0.29101 -1.35301 -0.00103 0.05162 1.01848 -0.0027 -0.37177 -0.01226 1.11186 0.7898 -0.15393 1.15571 0.55862 0.05205 1.12846 0.20847 1.0766 -0.29065 -1.33782 0.01437 0.0427 1.0528 0.00633 -0.35163 0.00252 -0.83906 -0.3214 0.04506 0.64589 -0.32161 -0.0511 -0.26128 -1.33324 -0.83753 -0.17823 -1.29728 -0.36152 -1.2556 0.03818 1.12625 0.01042 -0.3761 -0.0109 0.41544 0.0429 -0.07335 0.04232 1.07783 0.08717 1.00423 -0.37702 -0.00078 -0.33908
22 -0.18932 0.0534 -0.10188 0.79167 0.02072 -0.09914 0.13287 0.04232 0.33278 -0.01603 -0.29405 0.1356 0.93448 -0.25488 0.11818 0.51151 -0.19245 0.70736 -0.09831 -0.0808 0.68108 0.01708 -0.07166 0.04187 0.02221 0.28529 0.03277 0.66403 -0.12611 -0.00878 0.11417 -0.1285 0.38151 -0.04045 0.67667 1.00219 -0.16028 0.74688 -0.17162 0.90796 -0.1138 0.07343 0.02163 0.25386 -0.00755 0.39901 -0.04749 0.43535 -0.02741 0.0334 0.04859 0.16025 0.33558 0.05588 0.4343
23 0.08194 0.13997 0.01519 -0.14632 -0.0654 0.39109 0.51206 -0.05397 -0.26352 -0.06895 -0.03062 0.19386 -0.0999 -0.06742 0.31978 0.37163 0.00826 -0.14226 -0.02194 -0.17536 -0.50288 0.02883 0.21939 0.15028 0.03167 -0.43663 -0.02186 0.24309 -0.00991 0.59345 0.42384 0.11109 -0.04153 0.02908 -0.12023 -0.18408 -0.22309 -0.09364 0.34025 -0.05019 0.30728 0.46335 -0.05124 -0.20073 -0.13172 -0.01769 0.34036 0.17984 0.22858 0.52307 0.40442 0.50978 -0.11223 -0.10218 -0.19051
24 0.37037 0.00437 0.46872 -0.16618 -0.00645 0.10821 0.65015 0.00459 -0.75582 0.02271 0.309 0.09167 -0.01179 0.29857 0.31515 -0.07146 0.37686 1.0265 0.30454 0.43179 -0.16423 0.00279 0.0863 0.56615 0.00733 -0.82566 0.02443 -0.39647 0.45852 0.2627 0.00648 0.48759 0.66514 0.37338 -0.14153 -0.42899 -0.01195 -0.09997 0.40126 -0.26518 0.09216 0.51562 -0.00993 -0.82676 0.02462 0.76158 0.14377 -0.6065 0.05437 0.58633 1.19616 0.645 -0.75166 0.03598 -0.79119
25 -0.01801 0.0399 0.12186 9e-04 0.02608 0.08283 0.06097 0.08949 0.34872 0.0152 -0.09173 -0.0371 0.04449 -0.04799 -0.04632 0.13741 -0.22364 -0.03066 -0.0694 -0.00934 -0.07639 0.03125 0.02692 0.06271 0.03764 0.17937 0.06435 -0.0938 0.06989 0.04234 0.07018 -0.09635 0.02266 0.10662 -0.06507 -0.04541 -0.02989 -0.15159 -0.29605 -0.02238 0.02441 0.02484 0.05564 0.22435 0.04464 0.09192 -0.05577 0.27167 0.11541 -0.08026 0.14404 0.00227 0.06921 0.09046 0.36861
26 -0.90827 0.07598 -0.05224 -0.47296 0.0481 0.14696 0.08687 0.20864 -0.12531 0.08731 -0.87996 -0.52527 0.21674 -0.87744 -0.84335 0.43226 -0.64953 -0.6176 -1.05007 -0.04585 -0.52374 0.03757 0.32767 -0.00201 0.12678 0.05101 0.13426 -0.43182 0.01321 0.09808 -0.06557 0.03751 -0.0296 -0.12334 -0.52122 -0.57458 0.00603 -0.48729 -0.41732 -0.65834 0.24517 0.03734 0.11026 0.01638 0.14356 0.07714 0.46227 -0.08863 0.17693 -0.08213 -0.02951 -0.04669 0.18633 0.36289 -0.23901
27 0.99351 0.02099 1.06052 0.40548 0.06048 0.10867 0.27317 0.022 0.59524 0.07918 0.89593 0.27275 -0.27839 0.92614 0.46987 -0.32558 0.92061 0.26399 0.93068 0.91349 0.30437 0.04648 0.11938 0.16571 0.01654 0.53324 0.13431 -0.63211 0.83065 0.80986 -0.25834 0.85187 -0.14927 0.92754 0.24816 0.28671 0.12743 0.30908 -0.10696 0.39846 0.15887 0.24084 0.00426 0.37231 0.11793 0.03852 0.14895 0.44826 0.15136 0.23255 0.10311 0.34202 0.49549 0.09396 0.42654
28 0.07595 0.00853 -0.0652 0.24278 0.01736 0.04443 0.21467 0.00627 0.17282 -0.00123 0.01138 0.20214 -0.00612 -0.01021 0.1092 -0.25047 0.02597 -0.17231 0.08723 -0.14922 0.1536 -0.00039 0.07552 0.16452 -0.00411 0.12229 0.00652 0.44495 -0.14381 0.05251 0.12535 -0.12354 -0.06709 -0.04804 0.10492 0.22644 -0.25301 0.18956 0.07501 0.29809 0.07738 0.14846 0.00396 0.10797 0.02029 0.0914 0.07845 0.16267 0.02556 0.16701 -0.01371 0.23195 0.14384 0.00622 0.17334
29 0.24119 -0.01646 1.33056 0.68351 -0.00576 0.04233 -0.00785 -0.02163 0.76376 0.02116 0.33725 -0.5994 -0.10971 0.28985 0.38834 0.05303 0.30058 -0.23522 0.3321 1.27195 0.7217 -0.00269 1e-04 0.05521 -0.0039 0.73325 0.0436 -0.53072 1.25889 0.80018 -0.84187 1.27147 -0.18235 1.27073 0.68073 0.55262 -0.16727 0.69449 -0.19915 0.6707 0.03968 0.04565 -0.00847 0.71878 0.07721 0.01056 0.01139 0.38684 0.04837 0.05266 -0.44129 -0.02411 0.75275 0.04994 0.68701
30 -0.86449 0.0864 -0.03571 -0.5891 0.10908 0.06125 -1.11677 0.07585 -0.52312 0.02921 -0.92576 -0.37329 0.45702 -0.9168 -0.80938 0.06882 -0.86444 -0.12562 -0.80991 0.06111 -0.58645 0.05886 0.12473 -1.11036 0.03495 -0.48008 0.0863 -0.42236 0.07462 -0.01189 -0.36653 0.081 -0.13331 0.02033 -0.74298 -0.55417 0.76702 -0.6463 0.0792 -0.44207 0.16841 -1.05516 0.02734 -0.51898 0.11358 -0.94432 0.13397 -0.47241 0.11679 -1.00853 0.03672 -1.04791 -0.46301 0.10826 -0.36942
